key-for-ranking,Metro_2013,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016
1121,0.0,5.2,7.2,14.4,13.5,11.6,9.4,8.6,7.8,6.6,6.6
1123,0.0,5.3,7.2,13.6,13.1,11.4,8.6,8.1,7.5,6.1,5.6
1125,1.0,3.3,4.7,10.2,9.2,8.3,7.0,6.4,5.9,5.4,5.6
1127,1.0,4.3,5.7,11.6,12.7,11.3,9.2,8.5,7.9,7.2,7.4
1129,0.0,5.9,8.4,15.1,14.2,14.6,11.9,10.9,9.6,8.9,8.6
1131,0.0,9.7,14.0,26.0,26.3,23.2,19.9,19.3,16.9,14.7,14.4
1133,0.0,5.6,8.7,17.7,16.0,13.5,10.0,9.4,8.6,7.5,7.1
2000,,6.3,6.7,7.7,7.9,7.6,7.1,7.0,6.9,6.5,6.9
2013,0.0,8.0,8.7,9.9,5.6,6.2,6.8,6.0,4.5,3.2,2.7
2016,0.0,5.4,5.8,7.0,5.1,5.8,6.9,6.9,4.8,3.9,3.3
2020,1.0,5.1,5.4,6.5,6.6,6.0,5.4,5.2,5.2,5.0,5.5
2050,0.0,12.8,13.9,14.1,14.6,15.0,15.4,16.2,16.1,14.4,14.2
2060,0.0,4.7,4.9,4.8,9.7,8.9,9.8,8.8,8.0,9.4,7.0
2068,0.0,6.2,6.1,8.3,11.9,13.7,13.8,12.5,10.4,8.8,9.0
2070,0.0,9.1,9.3,10.2,10.1,10.6,9.9,10.2,10.1,9.7,9.6
2090,1.0,5.6,6.1,7.1,6.6,6.4,6.1,5.9,5.8,5.5,5.9
2100,0.0,7.4,8.8,9.0,10.6,10.0,10.0,10.2,10.7,9.8,10.2
2105,0.0,,,,14.0,15.1,14.3,14.7,15.2,15.2,11.9
2110,0.0,4.5,4.8,5.9,5.9,5.6,5.1,5.0,5.1,4.7,4.5
2122,0.0,7.9,8.2,9.8,10.0,9.5,8.6,8.0,7.9,7.8,8.5
2130,0.0,5.7,5.9,7.1,8.7,8.6,8.1,7.8,7.9,6.9,6.5
2150,0.0,6.3,6.8,7.1,7.4,7.4,6.7,6.2,5.7,4.8,5.1
2158,0.0,20.4,20.6,20.8,20.4,21.1,22.1,23.7,23.8,23.1,21.6
2164,0.0,5.5,6.9,8.1,14.4,15.0,15.2,15.5,16.3,12.5,12.5
2170,1.0,7.2,7.6,8.9,9.4,9.2,8.7,8.4,8.1,7.7,8.2
2180,0.0,11.1,10.4,11.7,12.6,12.3,11.7,12.3,12.3,11.9,12.7
2185,0.0,5.4,4.2,4.7,8.0,7.6,7.7,7.4,6.0,5.7,6.8
2188,0.0,10.8,11.6,11.9,13.4,15.5,15.7,16.4,17.0,16.0,16.0
2195,0.0,,,,7.9,8.4,8.1,8.7,9.5,8.9,9.0
2198,0.0,,,,10.5,12.4,13.3,12.2,13.4,12.6,12.2
2201,0.0,13.6,13.8,15.2,,,,,,,
2220,0.0,5.1,5.8,6.2,6.3,6.1,5.7,5.5,5.1,4.6,4.6
2230,0.0,,,,14.5,16.2,14.1,12.5,11.9,11.6,11.2
2232,0.0,12.5,12.9,14.7,,,,,,,
2240,0.0,8.7,8.8,9.6,11.9,12.4,12.9,13.1,13.2,10.7,10.7
2261,0.0,8.4,8.4,8.5,9.4,9.9,9.7,9.9,9.6,8.7,8.6
2275,0.0,,,,8.0,7.5,8.2,8.0,8.4,7.9,7.6
2280,0.0,9.6,10.7,10.4,,,,,,,
2282,0.0,6.8,7.5,11.5,10.8,10.6,9.7,9.5,9.9,8.5,8.2
2290,0.0,13.8,14.1,14.1,17.2,18.4,17.4,18.3,19.0,18.4,17.9
4000,,3.9,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1,5.4
4001,0.0,8.8,11.6,15.8,16.4,18.5,19.0,18.4,15.7,13.3,11.5
4003,1.0,4.1,5.9,8.0,9.3,9.5,9.0,9.2,8.4,7.3,6.2
4005,1.0,3.7,5.6,8.5,9.9,9.5,8.6,8.1,7.1,6.5,6.0
4007,0.0,4.3,6.5,11.4,12.5,11.6,10.2,9.6,8.3,7.9,7.2
4009,0.0,4.3,7.1,15.0,12.9,10.0,8.5,7.7,7.4,7.3,6.8
4011,0.0,3.3,5.3,18.9,16.4,11.0,8.2,5.9,6.5,7.9,7.6
4012,0.0,5.1,7.7,9.9,10.2,9.8,8.6,8.2,7.6,7.4,6.1
4013,1.0,3.3,5.4,9.1,9.5,8.6,7.3,6.6,5.8,5.1,4.6
4015,1.0,4.7,7.7,11.4,13.0,12.3,11.0,10.3,8.7,7.9,6.6
4017,0.0,6.4,10.1,15.3,14.7,14.8,14.1,13.5,11.1,9.7,8.3
4019,1.0,3.7,5.8,9.1,9.3,8.5,7.4,6.8,6.0,5.5,5.0
4021,1.0,4.6,7.4,12.3,10.7,9.8,8.5,8.1,7.0,6.3,5.6
4023,0.0,7.4,11.0,15.8,15.2,15.5,15.4,15.4,12.9,11.5,10.1
4025,1.0,3.7,6.2,10.5,10.7,9.9,8.6,7.7,6.4,5.6,4.9
4027,1.0,14.1,18.4,23.0,25.1,24.2,23.9,25.5,22.9,21.7,18.9
5000,,5.3,5.5,7.8,8.2,8.3,7.6,7.2,6.0,5.0,4.0
5001,0.0,8.7,9.8,15.7,18.6,12.2,8.8,7.4,5.4,4.2,3.4
5003,0.0,8.1,7.6,10.5,10.1,11.2,12.3,10.9,9.3,7.7,6.3
5005,0.0,5.4,6.0,9.3,9.4,9.3,8.4,8.0,6.7,5.5,4.3
5007,1.0,3.7,4.1,6.4,6.6,6.5,6.0,5.6,4.6,3.8,2.9
5009,0.0,5.1,5.5,7.5,7.8,8.0,7.6,7.0,6.0,4.9,3.7
5011,0.0,6.1,7.2,9.8,10.8,12.5,11.1,9.8,8.4,6.1,5.2
5013,0.0,6.7,6.2,8.4,8.8,9.6,9.1,8.2,6.6,5.4,4.6
5015,0.0,4.3,4.5,6.1,7.3,7.2,6.3,6.0,5.2,4.6,3.6
5017,0.0,8.2,8.3,11.1,12.3,13.2,11.4,11.6,10.5,9.1,6.6
5019,0.0,5.6,5.9,8.1,8.6,10.4,10.1,9.0,6.9,5.5,4.4
5021,0.0,9.3,8.1,11.3,11.0,12.1,11.0,9.7,7.8,6.6,5.6
5023,0.0,6.1,5.6,7.5,8.6,9.2,8.5,8.5,8.3,6.9,5.9
5025,1.0,5.7,5.9,8.1,8.4,8.5,7.4,7.6,6.8,5.6,4.5
5027,0.0,6.5,7.0,9.7,10.0,10.0,9.0,8.8,7.1,6.5,5.7
5029,0.0,4.9,5.5,7.5,9.7,9.9,9.2,9.2,7.1,6.1,5.7
5031,1.0,5.0,4.9,7.0,7.4,7.4,6.9,6.5,5.4,4.4,3.2
5033,1.0,4.9,4.9,7.8,8.2,8.9,8.0,7.6,6.0,5.2,3.9
5035,1.0,6.5,7.9,10.9,10.5,10.9,9.6,8.4,7.4,6.2,4.5
5037,0.0,7.4,6.8,8.4,8.3,8.4,7.9,7.6,6.3,5.4,4.4
5039,0.0,7.0,7.2,10.2,12.3,12.5,11.5,10.8,9.3,7.2,5.0
5041,0.0,9.9,8.8,11.3,11.1,11.2,9.9,9.6,8.1,7.3,5.4
5043,0.0,7.4,7.9,11.0,10.9,11.6,10.7,9.8,8.4,7.0,5.8
5045,1.0,4.4,4.8,6.9,7.2,7.2,6.6,6.5,5.5,4.7,3.8
5047,0.0,4.5,4.5,7.3,7.7,7.7,7.1,6.9,5.7,4.9,4.0
5049,0.0,5.0,5.2,7.5,7.8,7.8,7.2,6.9,5.8,5.2,4.3
5051,1.0,5.5,5.6,7.6,8.5,8.8,7.9,7.6,6.3,5.5,4.3
5053,1.0,4.9,5.2,7.1,7.1,7.4,6.8,6.5,5.4,4.5,3.6
5055,0.0,6.5,6.6,10.1,9.7,9.7,8.7,7.9,6.3,5.2,4.3
5057,0.0,5.9,5.8,8.3,9.3,8.8,7.3,7.2,6.0,4.9,3.8
5059,0.0,5.3,6.6,8.6,8.6,8.3,7.2,7.3,5.8,5.0,3.9
5061,0.0,5.4,5.5,8.0,7.8,7.5,6.7,6.4,5.8,4.2,3.3
5063,0.0,6.2,7.0,8.8,8.8,9.3,9.2,9.0,7.8,6.5,4.9
5065,0.0,5.9,6.7,9.2,10.1,9.9,8.8,8.6,7.5,6.6,5.6
5067,0.0,7.5,7.8,10.9,11.9,11.6,10.8,10.9,9.2,7.5,6.2
5069,1.0,7.5,7.7,9.8,10.4,11.1,10.0,10.3,8.7,7.0,5.6
5071,0.0,4.8,4.7,7.2,8.2,7.9,7.4,7.6,6.5,5.7,4.7
5073,0.0,7.5,7.1,9.5,9.9,9.7,9.5,9.6,7.8,7.6,5.9
5075,0.0,6.8,7.1,9.2,9.5,9.9,9.1,8.9,7.2,6.0,4.3
5077,0.0,9.4,8.5,9.2,8.6,9.6,9.5,9.3,7.5,6.7,4.7
5079,1.0,7.8,8.1,9.9,9.4,9.3,8.7,8.3,7.1,6.1,4.8
5081,1.0,4.2,3.9,6.0,7.7,7.8,7.3,7.6,6.5,5.5,4.7
5083,0.0,5.0,6.5,9.2,8.6,8.8,8.0,7.8,6.0,5.7,4.6
5085,1.0,4.4,4.5,6.3,6.8,7.0,6.4,6.1,5.1,4.2,3.3
5087,1.0,4.1,4.4,6.8,7.1,6.8,5.9,5.8,4.8,3.9,3.2
5089,0.0,5.4,6.3,11.8,10.1,9.4,8.2,7.7,6.3,5.2,4.0
5091,1.0,4.5,4.0,5.6,5.8,6.4,5.9,6.4,5.8,5.0,4.2
5093,0.0,7.3,7.7,13.9,12.5,12.1,11.0,11.3,9.2,9.0,6.8
5095,0.0,6.7,6.4,8.1,9.2,9.5,9.1,8.8,6.7,6.1,4.8
5097,0.0,5.3,5.7,7.1,8.8,9.3,8.5,8.4,8.0,6.8,5.2
5099,0.0,5.7,6.8,9.3,10.0,9.5,7.8,7.7,6.1,5.0,3.7
5101,0.0,5.1,5.7,8.0,6.9,7.5,7.3,6.9,5.8,4.8,3.8
5103,0.0,7.3,6.4,8.0,9.6,10.5,10.5,9.7,8.0,6.3,5.1
5105,1.0,4.8,5.6,7.9,8.9,9.3,9.1,9.3,7.7,6.1,4.8
5107,0.0,7.3,7.2,9.5,10.5,12.1,11.6,11.4,9.6,7.6,5.9
5109,0.0,5.6,6.1,7.7,9.1,10.1,9.1,8.8,7.3,5.9,4.3
5111,1.0,7.2,6.4,8.9,9.3,9.6,8.7,8.5,6.9,5.6,4.3
5113,0.0,4.9,5.2,7.6,7.5,8.1,7.4,7.2,6.2,5.8,4.9
5115,0.0,4.8,4.9,7.5,7.8,7.8,7.3,7.3,6.3,5.3,4.6
5117,0.0,5.7,5.7,7.9,9.2,8.7,7.6,7.0,5.8,4.7,3.8
5119,1.0,4.7,4.8,6.7,7.3,7.5,6.9,6.5,5.5,4.6,3.5
5121,0.0,9.3,8.2,9.2,10.2,11.3,10.8,9.5,7.9,7.2,4.6
5123,0.0,9.6,9.4,10.4,10.6,11.1,10.8,10.4,8.7,7.2,5.2
5125,1.0,4.2,4.5,6.6,6.7,6.7,6.1,5.8,4.8,4.1,3.1
5127,0.0,4.6,4.8,6.8,7.1,7.1,6.7,6.3,5.0,4.8,3.7
5129,0.0,4.9,5.4,7.7,9.2,9.2,8.2,7.9,6.3,5.7,4.6
5131,1.0,5.1,5.0,7.6,8.0,8.7,7.8,7.4,5.7,4.8,3.7
5133,0.0,4.1,4.1,5.9,7.0,9.2,8.8,8.4,7.0,6.1,4.9
5135,0.0,6.7,7.5,9.2,9.8,10.7,10.1,9.7,8.4,6.9,5.4
5137,0.0,5.7,6.6,8.8,7.6,8.9,8.2,8.4,7.6,6.3,5.1
5139,0.0,6.8,6.4,10.3,11.3,10.5,9.2,8.6,7.4,6.1,5.5
5141,0.0,5.9,6.6,10.5,11.2,11.0,10.1,9.7,8.1,6.7,6.9
5143,1.0,3.9,4.2,6.3,6.5,6.3,5.6,5.3,4.4,3.5,2.7
5145,0.0,6.6,6.0,8.2,8.2,8.7,7.9,7.8,7.0,6.2,5.2
5147,0.0,8.7,8.0,11.0,10.4,11.0,10.2,9.5,7.6,6.4,5.5
5149,0.0,4.3,4.5,8.2,8.1,7.5,6.7,6.6,5.6,5.1,4.5
6000,,5.4,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2,5.5
6001,1.0,4.7,6.2,10.3,10.9,10.1,8.7,7.2,5.8,4.7,4.3
6003,0.0,7.9,10.5,14.1,12.9,12.8,11.2,9.7,8.2,7.3,6.5
6005,0.0,5.8,7.7,11.4,14.1,13.6,12.3,10.3,8.3,6.6,5.9
6007,1.0,6.7,8.5,12.3,13.9,13.7,12.2,10.3,8.6,7.2,6.6
6009,0.0,6.4,8.7,13.6,14.4,14.0,12.4,9.9,8.0,6.4,5.7
6011,0.0,11.8,13.8,17.6,20.8,21.2,20.7,18.9,17.4,15.4,15.5
6013,1.0,4.7,6.2,10.0,11.0,10.3,8.9,7.5,6.2,5.0,4.5
6015,0.0,7.5,8.8,11.8,13.2,13.3,13.5,11.8,10.1,8.5,7.5
6017,1.0,5.2,7.0,10.9,12.2,11.7,10.2,8.5,7.0,5.7,5.1
6019,1.0,8.6,10.6,14.7,16.7,16.5,15.1,13.3,11.6,10.2,9.5
6021,0.0,8.8,10.5,14.1,15.4,15.5,14.2,12.1,10.7,8.7,8.3
6023,0.0,5.9,7.3,10.7,10.6,10.6,9.6,8.1,6.7,5.6,4.9
6025,1.0,18.1,22.6,27.4,28.8,28.9,27.4,25.0,24.0,24.5,24.1
6027,0.0,4.9,6.6,9.0,9.7,9.7,9.1,7.8,6.8,5.8,5.3
6029,1.0,8.2,9.8,14.1,15.7,14.8,13.1,11.7,10.4,10.2,10.4
6031,1.0,8.7,10.6,14.2,16.1,15.9,14.9,13.4,11.9,10.5,10.0
6033,0.0,8.4,10.7,15.0,15.1,14.5,12.8,10.9,8.9,7.6,6.7
6035,0.0,8.2,9.6,12.3,14.0,13.5,12.5,10.6,9.1,7.2,6.9
6037,1.0,5.1,7.6,11.6,12.5,12.2,10.9,9.8,8.3,6.6,5.3
6039,1.0,7.5,9.5,13.4,16.6,16.2,14.4,12.6,11.2,10.5,9.2
6041,1.0,3.7,4.7,7.5,7.9,7.3,6.3,5.2,4.3,3.6,3.3
6043,0.0,6.0,7.5,10.3,12.9,13.2,12.2,10.5,8.8,7.1,6.9
6045,0.0,5.5,6.9,10.0,11.6,11.4,10.0,8.4,7.0,5.8,5.3
6047,1.0,10.1,12.6,16.6,18.0,17.6,16.3,14.5,12.8,11.4,10.6
6049,0.0,8.1,9.7,12.1,15.2,16.0,14.4,12.3,10.2,8.6,7.8
6051,0.0,4.8,5.9,8.8,10.2,10.1,10.3,8.5,7.1,6.1,5.4
6053,1.0,7.1,8.5,11.5,12.7,12.7,11.6,10.3,9.0,8.1,7.6
6055,1.0,4.0,5.1,8.4,10.3,9.8,8.4,6.9,5.7,4.6,4.3
6057,0.0,4.8,6.6,10.3,11.7,11.1,9.7,8.1,6.5,5.4,4.8
6059,1.0,3.9,5.3,8.7,9.7,9.1,7.9,6.6,5.5,4.5,4.0
6061,1.0,4.8,6.5,10.2,11.6,10.8,9.4,7.7,6.3,5.1,4.5
6063,0.0,8.5,10.6,15.4,18.2,17.6,16.1,13.8,11.5,10.3,9.7
6065,1.0,6.0,8.6,13.1,13.8,13.2,11.6,9.9,8.2,6.7,6.1
6067,1.0,5.4,7.2,11.0,12.6,12.1,10.5,8.9,7.3,6.0,5.4
6069,1.0,7.2,9.7,14.0,15.1,14.5,13.0,11.1,9.3,7.6,6.7
6071,1.0,5.6,8.0,12.7,13.5,12.9,11.4,9.8,8.0,6.4,5.8
6073,1.0,4.6,6.0,9.4,10.8,10.3,9.1,7.8,6.4,5.2,4.7
6075,1.0,4.2,5.3,8.7,8.9,8.1,6.8,5.5,4.4,3.6,3.3
6077,1.0,8.1,10.4,14.9,16.5,16.2,14.4,12.3,10.5,8.9,8.1
6079,1.0,4.3,5.8,8.8,10.1,9.6,8.2,6.8,5.6,4.7,4.3
6081,1.0,3.8,4.9,8.2,8.4,7.5,6.4,5.3,4.2,3.4,3.0
6083,1.0,4.4,5.5,8.2,9.7,9.4,8.4,7.2,6.1,5.3,5.1
6085,1.0,4.7,6.0,10.6,10.4,9.3,7.9,6.5,5.2,4.1,3.8
6087,1.0,5.9,7.4,11.1,13.3,13.1,11.8,10.3,8.7,7.5,7.0
6089,1.0,7.5,10.1,14.3,16.8,15.9,14.2,11.8,9.6,7.8,7.0
6091,0.0,8.0,10.6,14.9,15.3,14.9,14.4,12.7,10.1,8.7,7.6
6093,0.0,8.5,10.2,14.2,16.8,17.0,15.6,13.1,11.1,9.4,8.5
6095,1.0,5.3,6.9,10.4,12.6,12.2,10.7,9.1,7.5,6.1,5.5
6097,1.0,4.3,5.8,9.4,10.8,10.2,8.9,7.1,5.6,4.5,4.0
6099,1.0,8.7,11.1,15.5,16.9,16.5,14.9,12.9,11.2,9.5,8.6
6101,1.0,9.7,12.4,16.5,18.4,18.2,16.8,14.6,12.6,10.7,9.7
6103,0.0,7.2,9.2,13.6,15.4,15.0,13.7,11.6,9.6,7.9,7.1
6105,0.0,10.4,12.8,16.8,17.0,16.7,14.6,11.9,9.4,7.8,7.1
6107,1.0,9.2,10.8,14.9,17.2,17.1,16.2,14.4,13.1,11.6,11.2
6109,0.0,6.2,8.0,12.2,15.2,14.5,13.0,10.8,8.6,7.0,6.2
6111,1.0,4.9,6.3,9.6,10.8,10.2,9.1,7.9,6.6,5.6,5.2
6113,1.0,5.7,7.4,11.0,12.1,11.8,10.6,9.0,7.5,6.5,5.9
6115,1.0,9.3,11.9,16.8,17.8,17.0,15.4,13.2,11.2,9.3,8.6
8000,,3.7,4.8,7.3,8.7,8.4,7.9,6.9,5.0,3.9,3.2
8001,1.0,4.2,5.4,8.5,10.0,9.9,9.4,8.1,5.7,4.3,3.5
8003,0.0,4.0,5.2,6.3,9.0,9.7,10.4,9.7,7.2,5.1,4.0
8005,1.0,3.7,4.9,7.3,8.6,8.3,7.7,6.6,4.9,3.7,3.1
8007,0.0,3.8,5.1,7.5,10.6,10.1,10.0,8.8,6.0,4.0,3.2
8009,0.0,2.5,3.4,3.7,4.9,4.8,4.5,4.1,2.8,2.0,1.7
8011,0.0,4.8,6.2,6.5,8.1,8.2,8.4,7.7,5.3,3.9,3.0
8013,1.0,3.3,4.1,6.1,7.0,6.5,6.2,5.5,4.1,3.2,2.6
8014,1.0,3.5,4.5,6.9,7.4,7.0,6.6,5.8,4.2,3.3,2.8
8015,0.0,3.6,4.5,6.3,7.7,7.2,6.8,6.2,4.4,3.4,2.6
8017,0.0,2.5,2.7,2.6,4.1,4.2,4.6,4.2,2.9,2.7,2.2
8019,1.0,3.7,4.6,7.2,8.1,7.4,7.0,6.3,4.6,3.7,3.2
8021,0.0,5.5,7.3,7.4,9.6,10.5,10.6,10.6,7.8,5.7,4.8
8023,0.0,7.1,7.7,9.1,10.6,11.7,11.4,11.2,9.1,6.4,4.7
8025,0.0,6.3,7.4,8.6,9.1,8.9,8.1,7.2,5.9,4.4,3.4
8027,0.0,4.0,5.1,6.2,6.6,6.3,6.3,6.4,4.6,3.5,3.1
8029,0.0,3.3,4.4,7.1,10.7,10.4,9.7,8.9,7.0,5.7,4.8
8031,1.0,4.1,5.4,8.1,9.1,8.6,7.9,6.6,4.8,3.7,3.1
8033,0.0,5.0,7.2,13.1,17.7,12.8,10.2,8.3,3.9,3.1,3.8
8035,1.0,3.1,4.2,6.2,7.0,6.4,6.0,5.3,4.0,3.1,2.6
8037,0.0,2.8,3.6,7.0,8.5,7.8,7.2,6.0,4.2,3.1,2.7
8039,1.0,3.7,4.8,7.0,8.1,7.5,7.1,5.9,4.3,3.1,2.6
8041,1.0,4.2,5.7,7.9,9.3,9.1,8.9,7.9,6.0,4.6,3.7
8043,0.0,4.7,6.3,8.5,11.7,12.0,11.7,10.7,8.2,6.1,5.1
8045,0.0,2.5,3.1,7.0,10.3,9.5,8.5,7.5,5.3,4.1,3.4
8047,1.0,3.5,4.2,6.0,8.0,7.2,6.7,6.0,4.4,3.1,2.4
8049,0.0,2.6,3.7,6.7,8.8,8.1,7.2,5.8,4.0,3.2,2.6
8051,0.0,2.8,3.6,5.4,6.4,6.0,6.0,5.5,4.0,2.9,2.3
8053,0.0,2.8,3.3,3.2,5.7,5.1,4.8,4.6,3.7,3.2,2.5
8055,0.0,4.7,6.4,8.7,14.0,13.6,14.2,13.7,10.0,7.7,6.2
8057,0.0,2.5,3.2,4.1,8.8,6.0,5.2,4.8,3.6,3.7,2.6
8059,1.0,3.6,4.7,7.1,8.4,8.0,7.4,6.3,4.5,3.5,2.9
8061,0.0,2.6,3.7,4.2,6.4,5.0,4.5,4.5,3.3,2.7,2.0
8063,0.0,2.7,3.4,3.9,4.5,4.7,4.4,3.9,3.0,2.4,2.1
8065,0.0,3.6,4.6,8.6,11.0,10.1,8.6,7.2,4.6,3.8,2.8
8067,0.0,2.8,3.6,5.4,7.1,7.0,6.6,5.7,4.2,3.4,2.8
8069,1.0,3.4,4.2,6.3,7.6,7.2,6.7,5.8,4.3,3.3,2.8
8071,0.0,3.6,4.5,8.1,10.6,11.0,12.0,11.2,7.5,5.6,5.0
8073,0.0,3.1,3.7,4.1,6.0,6.3,6.5,5.8,4.1,3.4,2.5
8075,0.0,3.1,3.9,5.0,6.3,6.3,6.0,5.1,3.8,3.0,2.9
8077,1.0,3.2,3.9,8.4,11.0,10.3,9.7,8.7,6.2,5.5,5.2
8079,0.0,4.2,5.5,6.7,7.0,5.4,5.4,5.9,5.0,3.6,2.2
8081,0.0,3.1,3.8,6.2,9.9,9.3,8.3,6.9,5.8,4.5,3.9
8083,0.0,3.9,5.2,7.3,9.1,8.7,8.5,7.7,6.1,5.7,4.9
8085,0.0,3.6,5.0,8.1,11.0,11.1,10.3,9.4,6.8,5.0,4.1
8087,0.0,3.3,4.2,5.4,7.0,6.7,6.8,6.5,4.6,3.8,3.4
8089,0.0,5.0,5.9,6.8,9.2,10.0,10.3,9.8,7.6,5.8,4.6
8091,0.0,2.9,3.7,5.6,9.8,10.2,9.4,7.6,5.8,4.3,3.7
8093,1.0,3.6,4.8,7.0,8.1,7.7,6.9,6.1,4.6,3.4,2.7
8095,0.0,2.7,3.4,3.6,5.3,5.3,5.1,4.6,3.3,2.4,1.9
8097,0.0,2.7,3.3,6.0,8.1,7.8,7.2,6.5,4.9,3.8,3.3
8099,0.0,3.4,4.5,5.8,7.0,6.6,7.0,6.3,4.7,4.0,3.2
8101,1.0,4.7,6.1,8.2,10.4,10.5,10.7,9.8,7.3,5.6,4.7
8103,0.0,2.1,2.6,4.9,8.9,7.9,8.3,7.8,6.0,5.2,5.0
8105,0.0,4.0,5.7,6.1,10.6,12.3,12.2,11.6,9.2,6.3,4.9
8107,0.0,2.6,3.4,6.5,9.3,8.2,7.2,5.9,4.2,3.2,2.6
8109,0.0,5.2,7.2,8.0,10.1,11.1,11.1,11.3,8.7,6.1,4.8
8111,0.0,4.1,5.6,7.4,12.5,11.7,9.9,8.6,5.3,4.2,3.5
8113,0.0,3.1,3.9,5.9,7.8,8.0,7.8,6.7,4.8,3.8,3.2
8115,0.0,2.2,3.2,3.7,7.4,7.9,7.0,6.2,4.6,3.4,2.3
8117,0.0,2.7,3.7,6.1,6.7,6.5,6.0,5.0,3.4,2.5,2.0
8119,1.0,3.9,5.5,7.5,9.4,9.3,8.4,7.8,5.9,4.4,3.6
8121,0.0,2.7,3.2,4.0,5.9,5.4,4.9,4.6,3.2,2.5,2.1
8123,1.0,4.1,5.2,8.2,9.2,8.6,7.8,6.6,4.5,3.8,3.4
8125,0.0,2.1,2.7,3.3,5.6,5.3,5.1,4.8,3.3,2.6,2.1
9000,,4.5,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.7,5.1
9001,1.0,3.9,5.2,7.5,8.4,8.2,7.8,7.3,6.2,5.4,4.9
9003,1.0,4.9,6.0,8.3,9.4,9.0,8.5,8.0,6.8,5.9,5.4
9005,0.0,4.2,5.3,7.9,8.7,8.1,7.6,7.1,6.0,5.2,4.7
9007,1.0,3.9,4.8,6.7,7.9,7.6,7.2,6.7,5.7,4.9,4.4
9009,1.0,4.9,6.2,8.6,10.0,9.7,9.1,8.5,7.2,6.2,5.5
9011,1.0,4.2,5.4,7.5,8.9,8.9,8.7,8.1,6.8,5.9,5.1
9013,1.0,3.8,4.8,6.6,7.8,7.5,7.3,6.9,5.8,5.0,4.5
9015,1.0,5.2,6.6,8.8,10.3,9.9,9.4,8.8,7.3,6.3,5.6
10000,,3.4,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9,4.5
10001,1.0,3.4,4.9,8.1,8.9,8.2,7.9,7.3,6.4,5.4,4.9
10003,1.0,3.5,4.9,8.3,8.3,7.3,7.0,6.5,5.5,4.7,4.4
10005,1.0,3.4,5.1,8.2,8.5,7.7,7.2,6.8,5.8,4.9,4.5
11000,,5.5,6.5,9.3,9.4,10.2,9.0,8.5,7.8,6.9,6.1
11001,1.0,5.5,6.5,9.3,9.4,10.2,9.0,8.5,7.8,6.9,6.1
12000,,4.0,6.3,10.4,11.1,10.0,8.5,7.2,6.3,5.5,4.8
12001,1.0,3.0,4.4,7.1,8.0,7.6,6.6,5.7,5.2,4.6,4.3
12003,1.0,3.7,5.8,10.1,11.3,10.2,8.6,7.4,6.4,5.6,4.9
12005,1.0,3.7,5.7,9.1,10.5,10.2,8.6,7.3,6.3,5.5,4.8
12007,0.0,3.4,5.0,8.1,9.9,9.1,7.6,6.3,5.6,4.8,4.3
12009,1.0,4.4,6.7,10.4,11.3,10.9,9.4,8.3,7.0,6.0,5.1
12011,1.0,3.6,5.6,9.1,10.2,9.4,8.0,6.8,5.9,5.1,4.5
12013,0.0,3.7,5.5,8.5,10.1,10.4,9.1,7.9,6.9,6.1,5.7
12015,1.0,5.2,8.3,11.9,12.7,11.3,9.5,8.0,6.9,6.0,5.3
12017,1.0,5.1,8.3,12.1,13.7,12.5,10.8,9.7,8.6,7.5,6.7
12019,1.0,3.5,5.5,9.3,9.9,9.1,7.6,6.3,5.8,5.1,4.5
12021,1.0,4.4,7.1,11.1,11.6,10.1,8.4,7.1,6.0,5.3,4.7
12023,0.0,3.7,5.7,9.3,10.8,10.3,8.8,7.6,6.6,5.5,4.9
12027,0.0,4.9,6.9,10.1,12.2,10.4,9.9,8.2,7.2,5.8,5.3
12029,0.0,4.4,7.6,11.4,12.9,12.3,10.2,8.5,7.4,6.2,5.4
12031,1.0,4.2,6.4,10.5,11.4,10.3,8.7,7.5,6.7,5.8,4.9
12033,1.0,4.0,6.2,9.9,10.1,9.7,8.4,7.2,6.4,5.6,4.9
12035,1.0,6.6,9.9,14.7,12.4,11.4,9.9,8.4,7.3,6.3,5.5
12037,0.0,3.2,4.9,7.4,8.0,7.6,6.5,5.5,5.6,4.7,4.3
12039,1.0,4.4,6.3,10.0,11.8,11.6,10.3,9.2,8.2,7.2,6.3
12041,1.0,3.9,5.8,9.3,10.8,10.3,9.1,7.9,6.7,5.7,5.0
12043,0.0,4.8,7.1,9.3,9.5,9.5,7.7,7.4,7.7,7.2,6.2
12045,1.0,3.9,6.5,9.6,10.3,9.7,8.1,6.8,6.1,5.3,4.6
12047,0.0,4.7,7.3,11.2,11.4,10.4,8.9,8.6,7.6,6.5,5.7
12049,0.0,4.6,6.9,10.5,11.5,10.1,8.9,8.2,7.7,7.0,6.6
12051,0.0,7.5,11.1,14.2,14.0,13.9,12.8,12.0,11.3,10.7,8.5
