key-for-ranking,Metro_2013,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016
42087,0.0,5.2,6.6,9.9,10.2,8.9,8.7,8.2,6.4,5.8,5.7
42089,1.0,4.9,6.0,9.1,9.7,9.7,9.8,9.4,7.5,6.5,6.2
42091,1.0,3.5,4.3,6.8,6.9,6.5,6.4,5.9,4.7,4.2,4.1
42093,1.0,3.9,4.8,6.6,6.7,6.2,5.8,5.5,4.7,4.3,4.3
42095,1.0,4.4,5.5,8.4,8.8,8.2,8.1,7.4,5.9,5.3,5.2
42097,0.0,5.1,6.5,9.7,9.9,9.2,9.1,8.7,6.7,6.1,6.2
42099,1.0,4.1,5.2,7.9,8.1,7.4,7.3,6.5,5.2,4.5,4.6
42101,1.0,6.1,7.1,9.7,10.6,10.7,10.9,10.3,8.1,7.1,6.8
42103,1.0,5.4,6.0,9.1,9.7,9.9,10.1,9.7,7.6,6.6,6.4
42105,0.0,7.2,7.1,11.1,10.4,9.2,9.1,9.3,7.4,7.0,7.8
42107,0.0,5.0,6.2,9.9,10.6,9.8,9.7,9.2,7.1,6.3,6.2
42109,0.0,4.6,6.1,9.0,8.4,7.7,7.6,6.9,5.2,4.7,4.7
42111,0.0,5.5,6.3,8.5,9.6,8.9,8.9,9.2,7.3,6.8,7.2
42113,0.0,4.6,5.7,8.4,8.0,7.3,7.8,8.3,6.1,6.2,7.2
42115,0.0,4.3,5.7,8.5,8.7,7.9,7.6,7.1,5.9,5.6,5.7
42117,0.0,5.5,6.1,9.7,8.3,7.0,7.6,8.6,6.9,6.5,7.1
42119,0.0,5.3,6.3,9.0,7.7,6.8,6.4,6.3,5.0,4.5,4.8
42121,0.0,4.9,5.7,8.7,8.5,7.4,7.7,7.8,5.9,5.9,7.2
42123,0.0,4.6,5.2,7.8,8.3,7.5,6.8,6.4,5.3,5.0,5.5
42125,1.0,4.6,5.2,7.6,8.1,7.3,7.2,6.9,5.8,5.6,6.1
42127,0.0,4.2,5.2,7.4,8.1,8.1,8.0,7.9,6.4,5.8,5.7
42129,1.0,4.6,5.3,7.8,8.2,7.5,7.4,7.0,5.7,5.4,5.8
42131,1.0,5.3,6.0,8.5,8.8,8.8,8.9,8.6,6.7,6.1,6.2
42133,1.0,3.8,4.7,8.1,8.4,7.5,7.4,6.7,5.4,4.8,4.6
44000,,5.2,7.8,11.0,11.2,11.0,10.4,9.3,7.7,6.0,5.2
44001,1.0,4.5,6.8,10.1,9.7,9.6,9.0,7.9,6.7,5.3,4.6
44003,1.0,5.0,7.4,10.4,11.1,10.6,9.9,8.7,7.2,5.5,4.7
44005,1.0,4.5,6.8,9.8,10.0,10.1,9.3,8.5,6.9,5.4,4.7
44007,1.0,5.6,8.4,11.9,11.8,11.6,10.9,9.8,8.1,6.3,5.5
44009,1.0,4.3,6.6,8.9,10.1,10.1,9.7,8.6,7.2,5.6,4.7
45000,,5.7,6.8,11.2,11.2,10.6,9.2,7.6,6.5,6.0,5.0
45001,0.0,8.1,8.1,14.2,13.6,12.5,10.6,9.5,7.7,6.9,5.5
45003,1.0,5.4,5.9,9.2,9.3,9.3,8.6,7.6,6.5,5.9,5.0
45005,0.0,10.3,16.5,20.6,19.1,18.4,16.9,14.0,12.2,11.3,8.6
45007,1.0,5.8,6.8,12.0,11.6,10.3,8.9,7.1,6.0,5.4,4.6
45009,0.0,9.1,11.3,15.6,16.1,16.2,15.9,13.5,11.6,10.5,9.1
45011,0.0,9.3,10.9,17.1,16.6,15.2,13.9,12.1,9.7,9.0,7.4
45013,1.0,4.4,5.3,8.7,8.7,8.7,7.6,6.4,5.7,5.5,4.8
45015,1.0,4.8,6.1,10.3,10.0,9.6,8.4,7.0,6.0,5.5,4.6
45017,1.0,6.3,7.6,12.2,12.3,12.4,11.2,9.6,8.0,7.1,6.2
45019,1.0,4.4,5.3,8.8,8.8,8.3,7.2,5.9,5.2,4.9,4.1
45021,0.0,6.8,9.1,15.8,15.7,14.7,12.8,10.5,8.3,7.1,6.0
45023,1.0,10.9,11.8,19.8,19.3,17.3,14.8,12.2,9.7,8.4,7.2
45025,0.0,7.7,9.0,16.5,14.4,12.9,11.4,9.2,6.9,6.1,5.0
45027,0.0,8.4,9.8,15.0,14.0,14.5,12.8,10.3,8.4,7.7,6.7
45029,0.0,6.1,8.2,13.1,13.8,14.1,12.1,9.9,7.6,7.0,5.6
45031,1.0,6.5,8.5,13.0,13.2,12.9,11.1,9.3,8.0,7.4,6.3
45033,0.0,9.1,10.3,15.3,15.9,15.8,14.1,11.8,9.7,8.6,6.8
45035,1.0,4.4,5.7,9.7,9.5,9.0,7.8,6.6,5.8,5.5,4.6
45037,1.0,6.3,6.7,10.2,9.9,9.9,9.4,8.1,6.7,6.4,5.7
45039,1.0,8.5,10.6,13.2,14.6,14.5,13.0,10.7,8.7,8.1,7.2
45041,1.0,6.1,7.0,11.1,11.3,11.2,9.7,8.3,7.2,6.6,5.3
45043,0.0,6.2,7.4,11.9,14.5,13.6,12.0,10.1,8.6,8.4,6.8
45045,1.0,4.7,5.5,9.8,9.6,8.6,7.4,6.1,5.3,4.9,4.3
45047,0.0,6.9,7.6,12.5,11.9,11.3,10.1,8.6,6.9,6.3,5.2
45049,0.0,6.7,9.0,14.8,12.8,12.9,11.2,9.3,7.7,8.4,5.9
45051,1.0,5.0,7.1,11.7,12.3,11.9,10.4,8.6,7.4,7.1,5.9
45053,1.0,4.6,6.0,10.3,9.8,9.9,8.5,6.9,5.7,5.1,4.4
45055,1.0,5.4,6.6,10.6,11.5,11.0,9.5,7.8,6.5,6.0,5.2
45057,1.0,9.6,11.5,17.4,14.7,13.3,11.3,9.3,7.2,6.3,5.3
45059,1.0,7.2,7.4,11.7,12.3,11.6,10.3,8.6,7.1,6.6,5.2
45061,0.0,8.1,9.3,14.3,16.2,16.2,14.1,11.0,9.1,8.4,7.1
45063,1.0,4.1,4.9,8.0,8.2,8.0,7.0,5.8,5.1,4.8,4.1
45065,0.0,10.0,10.8,16.1,14.0,13.6,11.8,9.8,7.9,7.1,5.6
45067,0.0,11.5,13.7,20.4,18.3,17.7,15.9,13.1,10.6,10.0,8.8
45069,0.0,11.9,12.5,19.1,21.2,19.7,17.6,13.8,10.6,10.1,8.4
45071,0.0,5.6,7.0,11.4,10.8,10.4,8.8,7.3,5.7,5.3,4.5
